id	genre	author	title	raw_title	url	date	date_evidence	hangul	fetched_at
wiki-06	wiki	위키백과 편집자	동맹 90/녹색당	동맹 90/녹색당	https://ko.wikipedia.org/w/index.php?oldid=33554556	2022-10-25T20:46:26Z	위키백과 판 저장 시각(API)	4103	2026-09-15T20:30:04+00:00
personal-06	personal	권기호	안드로이드(android) 특정한 시간에 푸시(푸쉬-notification)가 날라오도록 해보자!	안드로이드(android) 특정한 시간에 푸시(푸쉬-notification)가 날라오도록 해보자!	https://kwongyo.tistory.com/5	2022-10-03T11:42:34Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2016-03-07	877	2026-09-15T20:30:05+00:00
wiki-07	wiki	위키백과 편집자	대침체	대침체	https://ko.wikipedia.org/w/index.php?oldid=33249204	2022-09-01T05:27:04Z	위키백과 판 저장 시각(API)	978	2026-09-15T20:30:07+00:00
personal-07	personal	이근호	[서평] 프로그래머를 위한 베이지안 with 파이썬	[서평] 프로그래머를 위한 베이지안 with 파이썬	https://iostream.tistory.com/136	2022-09-28T02:56:43Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2018-01-14	807	2026-09-15T20:30:10+00:00
wiki-08	wiki	위키백과 편집자	전조선 제정당사회단체 대표자 연석회의	전조선 제정당사회단체 대표자 연석회의	https://ko.wikipedia.org/w/index.php?oldid=32941835	2022-07-04T02:28:52Z	위키백과 판 저장 시각(API)	10857	2026-09-15T20:30:23+00:00
personal-08	personal	김준형	[후기] 위코드 1차 프로젝트	[후기] 위코드 1차 프로젝트	https://velog.io/@ddalkigum/%EC%9C%84%EC%BD%94%EB%93%9C-1%EC%B0%A8-%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8	2022-05-20T01:13:09Z	Common Crawl CC-MAIN-2022-21 수집 시각; 페이지 추출 날짜 2021-01-24	2236	2026-09-15T20:30:51+00:00
wiki-09	wiki	위키백과 편집자	다함께 차차차 (비디오 게임)	다함께 차차차 (비디오 게임)	https://ko.wikipedia.org/w/index.php?oldid=32031722	2022-03-04T21:48:07Z	위키백과 판 저장 시각(API)	1277	2026-09-15T20:30:54+00:00
personal-09	personal	이근배	Product/UX Designer의 성장 과정	Product/UX Designer의 성장 과정	https://brunch.co.kr/@geunbae/19	2022-09-26T12:07:49Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2020-03-25	5961	2026-09-15T20:31:25+00:00
personal-10	personal	이승천	GIL, Java에는 없던데?	GIL, Java에는 없던데?	https://velog.io/@litien/GIL-Java%EC%97%90%EB%8A%94-%EC%97%86%EB%8D%98%EB%8D%B0	2022-05-16T23:03:07Z	Common Crawl CC-MAIN-2022-21 수집 시각; 페이지 추출 날짜 2020-11-25	1353	2026-09-15T20:31:38+00:00
wiki-10	wiki	위키백과 편집자	흐로닝언	흐로닝언	https://ko.wikipedia.org/w/index.php?oldid=33676879	2022-11-20T05:24:08Z	위키백과 판 저장 시각(API)	1293	2026-09-15T20:31:49+00:00
tech-01	tech	오픈소스컨설팅	[일생활균형 우수사례] 오픈소스컨설팅 특별상 수상!	[일생활균형 우수사례] 오픈소스컨설팅 특별상 수상! - 오픈소스컨설팅 테크블로그	https://tech.osci.kr/2022/08/31/%EC%9D%BC%EC%83%9D%ED%99%9C%EA%B7%A0%ED%98%95-%EC%9A%B0%EC%88%98%EC%82%AC%EB%A1%80-%EC%98%A4%ED%94%88%EC%86%8C%EC%8A%A4%EC%BB%A8%EC%84%A4%ED%8C%85-%ED%8A%B9%EB%B3%84%EC%83%81-%EC%88%98%EC%83%81/	2022-10-06T03:42:41Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2022-08-31	2830	2026-09-15T20:34:57+00:00
tech-02	tech	오픈소스컨설팅	오픈소스컨설팅이 10살이 되었어요. Our Culture	오픈소스컨설팅이 10살이 되었어요. Our Culture	https://tech.osci.kr/2022/03/16/10-years-anniversary/	2022-10-06T03:55:36Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2022-03-16	1428	2026-09-15T20:34:59+00:00
tech-03	tech	인덴트코퍼레이션	온디맨드 영상 변환 시스템 구축기	온디맨드 영상 변환 시스템 구축기	https://blog.indentcorp.com/building-a-ondemand-transcoding-system/	2022-10-05T02:55:37Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2022-05-15	1749	2026-09-15T20:35:26+00:00
tech-04	tech	인덴트코퍼레이션	지라 버전을 자동으로 릴리스해볼까요?	지라 버전을 자동으로 릴리스해볼까요?	https://blog.indentcorp.com/make-the-jira-version-auto-release-with-github-actions/	2022-10-05T03:23:32Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2022-05-09	2068	2026-09-15T20:35:27+00:00
tech-05	tech	원티드 제품 팀	웹 성능 최적화 SSR + Cache 적용기	웹 성능 최적화 SSR + Cache 적용기	https://medium.com/wantedjobs/%EC%9B%B9-%EC%84%B1%EB%8A%A5-%EC%B5%9C%EC%A0%81%ED%99%94-ssr-cache-%EC%A0%81%EC%9A%A9%EA%B8%B0-bf022e3a1a72	2022-10-07T01:11:30Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2021-03-08	2285	2026-09-15T20:38:09+00:00
tech-06	tech	엑셈	월간기술동향 | '언택트'가 대세다!	월간기술동향 | '언택트'가 대세다!	https://exem.tistory.com/1398	2022-09-30T06:20:46Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2020-04-16	1257	2026-09-15T20:38:12+00:00
tech-07	tech	엑셈	아티스트 talk! Talk! 열여섯번째 주인공, 지식연계팀 박유선 사원	아티스트 talk! Talk! 열여섯번째 주인공, 지식연계팀 박유선 사원	https://exem.tistory.com/375	2022-09-30T07:02:35Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2011-09-20	1628	2026-09-15T20:38:13+00:00
tech-08	tech	OpsNow	OpsNow 개발자들의 제주 한달 살기 생활기	OpsNow 개발자들의 제주 한달 살기 생활기	https://blog.opsnow.com/opsnow-%EA%B0%9C%EB%B0%9C%EC%9E%90%EB%93%A4%EC%9D%98-%EC%A0%9C%EC%A3%BC-%ED%95%9C%EB%8B%AC-%EC%82%B4%EA%B8%B0-%EC%83%9D%ED%99%9C%EA%B8%B0-1%EC%A3%BC%EC%B0%A8/	2022-09-29T23:59:38Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2021-04-20	1058	2026-09-15T20:39:03+00:00
tech-09	tech	OpsNow	AWS 트래픽 로그와 비용 분석	AWS 트래픽 로그와 비용 분석	https://blog.opsnow.com/aws-%ED%8A%B8%EB%9E%98%ED%94%BD-%EB%A1%9C%EA%B7%B8%EC%99%80-%EB%B9%84%EC%9A%A9-%EB%B6%84%EC%84%9D/	2022-09-30T00:07:23Z	Common Crawl CC-MAIN-2022-40 수집 시각; 페이지 추출 날짜 2021-03-25	1005	2026-09-15T20:39:04+00:00
tech-10	tech	VCNC	타다 클라이언트 개발기	타다 클라이언트 개발기	https://engineering.vcnc.co.kr/2019/05/tada-client-development/	2022-05-17T02:00:27Z	Common Crawl CC-MAIN-2022-21 수집 시각; 페이지 추출 날짜 2019-05-08	4395	2026-09-15T20:40:14+00:00
